Date,EURUSD,GBPUSD,JPYUSD,CHFUSD,CADUSD,AUDUSD,NZDUSD
2009-04-14 00:00:00+01:00,1.327404260635376,1.4904906749725342,0.010104071816367868,0.8797395706557014,0.8240626132168962,0.7231180667877197,0.5829883813858032
2009-04-15 00:00:00+01:00,1.3225939273834229,1.5000150203704834,0.010077597159832466,0.8754267630957764,0.8307028000815194,0.7282790541648865,0.5802146792411804
2009-04-16 00:00:00+01:00,1.3180439472198486,1.491891622543335,0.010067451742333085,0.8719915975541098,0.8271982966551188,0.72061687707901,0.5739868879318237
2009-04-17 00:00:00+01:00,1.3044953346252441,1.4799906015396118,0.01009285407266282,0.8581481077967866,0.8259684240624934,0.7228044867515564,0.5693140029907227
2009-04-20 00:00:00+01:00,1.2928917407989502,1.454312801361084,0.010197213924356607,0.8555783736315742,0.8084074448273961,0.6999860405921936,0.5541701316833496
2009-04-21 00:00:00+01:00,1.2934937477111816,1.466490626335144,0.010137875164108556,0.8556515934794854,0.8085381921787214,0.7088679671287537,0.5611987113952637
2009-04-22 00:00:00+01:00,1.300576090812683,1.448897361755371,0.01019056382338958,0.8593280169083173,0.8074935514935238,0.7077140808105469,0.5565139651298523
2009-04-23 00:00:00+01:00,1.3140950202941895,1.4716920852661133,0.010212418491620677,0.8691118006218859,0.8170602436957822,0.7136231064796448,0.5615453720092773
2009-04-24 00:00:00+01:00,1.3258028030395508,1.4714971780776978,0.010287007606398897,0.8804366934966285,0.8264462549368408,0.7221259474754333,0.5730987191200256
2009-04-27 00:00:00+01:00,1.3018969297409058,1.4614968299865723,0.010359473869738341,0.8645283884959275,0.8204791943689551,0.7070136070251465,0.5636978149414062
2009-04-28 00:00:00+01:00,1.313094139099121,1.4628652334213257,0.010359473869738341,0.8742022622773111,0.8194706493883038,0.7065140604972839,0.5589714646339417
2009-04-29 00:00:00+01:00,1.3265942335128784,1.4767340421676636,0.010259566917781005,0.8800493077247895,0.8309098238951473,0.7249003052711487,0.5644933581352234
2009-04-30 00:00:00+01:00,1.323521614074707,1.4788086414337158,0.010132738628654055,0.8770391014200041,0.8376612690627022,0.7266914248466492,0.5650036931037903
2009-05-01 00:00:00+01:00,1.3268054723739624,1.4910907745361328,0.01008166120966397,0.880979643892837,0.8437394703655476,0.7328155040740967,0.5713959336280823
2009-05-04 00:00:00+01:00,1.3418675661087036,1.5035107135772705,0.010118384918270605,0.8880994302833719,0.8530239837135886,0.7411249876022339,0.5775339007377625
2009-05-05 00:00:00+01:00,1.33159339427948,1.5070909261703491,0.010109179321779824,0.8822232180577204,0.8515711811353907,0.7407956123352051,0.5798109769821167
2009-05-06 00:00:00+01:00,1.3312920331954956,1.5150138139724731,0.010161568568105116,0.882456721149265,0.8574122866820243,0.7488393187522888,0.5870956182479858
2009-05-07 00:00:00+01:00,1.3392080068588257,1.5033977031707764,0.010087967240582457,0.8851908013519603,0.8544817518010249,0.7550589442253113,0.5940005779266357
2009-05-08 00:00:00+01:00,1.3639029264450073,1.5242972373962402,0.010157440639898922,0.9062075144739089,0.8690362591218626,0.767990231513977,0.6040106415748596
